Name;FIDE ID;Born;Died;Year;"Most recent
federation";M/F;Notes
Chernobay, Artem;4167406;1989-06-23;;2011; Russia;M;"title application; d.o.b.[note 8]"
Chernyshov, Konstantin;4117328;1967-06-11;;2000; Russia;M;
Chibukhchian, Artur;13300717;1979-10-06;;2009; Armenia;M;"Di Felice; title application"
Chiburdanidze, Maia;13600036;1961-01-17;;1984; Georgia;F;
Chigaev, Maksim;4108116;1996-11-07;;2016; Russia;M;title application
Chirilă, Ioan-Cristian;1211668;1991-01-06;;2009; Romania;M;title application[note 9]
Chopra, Aryan;5084423;2001-12-10;;2017; India;M;title application
Christiansen, Johan-Sebastian;1512668;1998-06-10;;2018; Norway;M;title application
Christiansen, Larry;2000059;1956-06-27;;1977; United States;M;
Chuchelov, Vladimir;201260;1969-09-28;;1995; Belgium;M;
Chuprov, Dmitry;4119754;1978-05-10;2012-09-14;2008; Russia;M;"Di Felice; title application"
Cicak, Slavko;1700588;1969-10-25;;2001; Sweden;M;
Cifuentes Parada, Roberto;2253488;1957-12-21;;1991; Spain;M;
Ciocâltea, Victor;;1932-01-16;1983-09-10;1978; Romania;M;Di Felice
Čirić, Dragoljub;901431;1935-11-12;2014-08-17;1965; Serbia;M;Di Felice
Čmilytė, Viktorija;12801259;1983-08-06;;2010; Lithuania;F;title application
Čolović, Aleksandar;15000729;1976-01-06;;2013; North Macedonia;M;title application
Comas Fabrego, Lluis;2200325;1971-06-22;;1999; Spain;M;
Conquest, Stuart;400181;1967-03-01;;1991; England;M;
Córdova, Emilio;3801497;1991-07-08;;2008; Peru;M;"Di Felice; title application"
Cori, Jorge;3802272;1995-07-30;;2010; Peru;M;"Di Felice; title application[note 10]"
Cori Quispe, Kevin Joel;3814017;1999-08-02;;2018; Peru;M;title application
Cornette, Matthieu;620084;1985-09-04;;2008; France;M;title application
Corrales Jimenez, Fidel;3506690;1987-07-07;;2009; United States;M;title application
Cramling, Pia;1700030;1963-04-23;;1992; Sweden;F;
Cruz, Cristhian;3801969;1992-02-07;;2012; Peru;M;title application
Csom, István;700100;1940-06-02;;1973; Hungary;M;
Cuartas, Jaime Alexander;4401190;1975-10-28;;2009; Colombia;M;title application
Cubas, Jose Fernando;3700267;1981-04-09;;2011; Paraguay;M;"Di Felice; title application"
Cuenca Jiménez, José;2255570;1987-03-17;;2015; Spain;M;"Di Felice; title application; title application"
Cvek, Robert;307424;1979-01-06;;2007; Czech Republic;M;title application
Cvitan, Ognjen;14500086;1961-10-10;;1987; Croatia;M;
Cyborowski, Łukasz;1108760;1980-06-21;;2003; Poland;M;
Czarnota, Paweł;1121219;1988-04-14;;2006; Poland;M;"Di Felice; title application"
Czebe, Attila;705268;1975-12-26;;2003; Hungary;M;
Dake, Arthur;2001446;1910-04-08;2000-04-28;1986; United States;M;Di Felice
Dambacher, Martijn;1005030;1979-10-22;;2014; Netherlands;M;title application
Damjanović, Mato;14500639;1927-03-23;2011-02-12;1964; Croatia;M;Di Felice
Damljanović, Branko;900125;1961-06-17;;1989; Serbia;M;
Danielian, Elina;13300210;1978-08-16;;2010; Armenia;F;title application
Danielian, Oganes;13300237;1974-01-03;2016-08-08;1999; Armenia;M;Di Felice
Danielsen, Henrik;1400185;1966-01-21;;1996; Iceland;M;Di Felice
Danin, Alexandre;4144031;1986-03-14;;2011; Russia;M;title application
Đào Thiên Hải;12400084;1978-05-10;;1995; Vietnam;M;
Darga, Klaus;4600150;1934-02-24;;1964; Germany;M;Gaige
Darini, Pouria;12502200;1991-01-24;;2013; Iran;M;title application
Dastan, Muhammed;6300014;1997-08-07;;2016; Turkey;M;title application
Dautov, Rustem;4623606;1965-11-28;;1990; Germany;M;
David, Alberto;4000013;1970-03-26;;1998; Italy;M;
Davies, Nigel;404420;1960-07-31;;1993; Wales;M;
De Vreugt, Dennis;1003909;1980-11-04;;2000; Netherlands;M;
Deac, Bogdan-Daniel;1226380;2001-10-08;;2016; Romania;M;title application
Debashis, Das;5024854;1993-06-27;;2013; India;M;title application
Deepan Chakkravarthy J.;5011132;1987-06-03;;2006; India;M;
De Firmian, Nick;2000105;1957-07-26;;1985; United States;M;
Degraeve, Jean-Marc;600270;1971-01-26;;1998; France;M;
De La Paz Perdomo, Frank;3501833;1975-05-24;;2004; Cuba;M;"Di Felice[note 11]; title application"
De La Riva Aguado, Oscar;6900224;1972-07-15;;2004; Andorra;M;
De La Villa Garcia, Jesús Maria;2200040;1958-06-30;;1999; Spain;M;
Delchev, Aleksander;2900394;1971-07-15;;1997; Bulgaria;M;
Delgado Ramírez, Neuris;3503631;1981-09-17;;2002; Paraguay;M;
Delorme, Axel;632023;1990-05-08;;2017; France;M;title application
Del Río de Angelis, Salvador G.;2203138;1976-10-02;;2002; Spain;M;
Dely, Péter;700207;1934-07-05;2012-12-29;1999; Hungary;M;
Demchenko, Anton;4160258;1987-08-20;;2013; Russia;M;title application
Demidov, Mikhail;4197143;1992-06-17;;2020; Russia;M;title application
Demuth, Adrien;642274;1991-04-14;;2015; France;M;title application
Denker, Arnold;2002264;1914-02-21;2005-01-02;1981; United States;M;Di Felice
Dervishi, Erald;4700236;1979-11-10;;1998; Albania;M;
Deviatkin, Andrei;4121260;1980-10-07;;2008; Russia;M;title application
Dgebuadze, Alexandre;203882;1971-05-21;;2000; Belgium;M;
Dhopade, Swapnil;5019184;1990-10-05;;2016; India;M;title application
Diamant, André;2108356;1990-02-09;;2009; Brazil;M;"Di Felice; title application"
Diermair, Andreas;1612468;1986-09-29;;2018; Austria;M;title application
Díez del Corral, Jesús;2200155;1933-04-06;2010-02-19;1974; Spain;M;Di Felice
Dimitrov, Radoslav;2908549;1993-03-27;;2018; Bulgaria;M;title application
Dimitrov, Vladimir;2900050;1968-04-11;;1993; Bulgaria;M;
Ding Liren;8603677;1992-10-24;;2009; China;M;title application
Dizdar, Goran;14500124;1958-12-04;;1991; Croatia;M;
Dizdarević, Emir;14400049;1958-04-02;;1988; Bosnia and Herzegovina;M;
Djukic, Nikola;922412;1983-01-26;;2005; Montenegro;M;title application
Djurhuus, Rune;1500082;1970-01-25;;1996; Norway;M;
Djurić, Stefan;900133;1955-07-26;;1982; Serbia;M;
Dlugy, Maxim;2000075;1966-01-29;;1986; United States;M;
Dobrov, Vladimir;4136594;1984-04-13;;2004; Russia;M;
Dokhoian, Yury;4100476;1964-10-26;;1988; Russia;M;
Dolmatov, Sergey;4100093;1959-02-20;;1982; Russia;M;
Domínguez Pérez, Lenier;3503240;1983-09-23;;2000; United States;M;
Domogaev, Sergey;24103608;1964-11-07;;2012; Russia;M;title application
Donchenko, Alexander;24603295;1998-03-22;;2015; Germany;M;title application
Donchev, Dimitar;2900025;1958-07-21;;1990; Bulgaria;M;
Donner, Jan Hein;;1927-07-06;1988-11-27;1959; Netherlands;M;Di Felice
Dorfman, Josif;604011;1952-05-01;;1978; France;M;
Döttling, Fabian;4627253;1980-08-04;;2003; Germany;M;also spelled Doettling
Dourerassou, Jonathan;628050;1989-04-10;;2016; France;M;title application
Dragnev, Valentin;1634852;1999-03-05;;2018; Austria;M;title application
Dragun, Kamil;1134167;1995-06-25;;2013; Poland;M;title application
Drasko, Milǎn;900397;1962-12-06;;1993; Montenegro;M;
Drazic, Sinisa;901172;1967-12-16;;2000; Serbia;M;
Dreev, Alexey;4100107;1969-01-30;;1989; Russia;M;
Drenchev, Petar;2903261;1977-04-25;;2011; Bulgaria;M;title application
Drozdovskij, Yuri;14107180;1984-05-22;;2004; Ukraine;M;
Dubov, Daniil;24126055;1996-04-18;;2011; Russia;M;title application
Duda, Jan-Krzysztof;1170546;1998-04-26;;2013; Poland;M;title application
Durarbayli, Vasif;13402935;1992-02-24;;2010; Azerbaijan;M;title application
Duras, Oldřich;;1882-10-30;1957-01-05;1950; Czechoslovakia;M;Gaige
Dvirnyy, Danyyil;817570;1990-10-21;;2014; Italy;M;title application
Dvoirys, Semen;4100379;1958-11-02;;1990; Russia;M;
Dyachkov, Sergej;4119800;1976-11-06;;2004; Russia;M;
Dydyshko, Viacheslav;13500031;1949-04-10;;1995; Belarus;M;
Dzagnidze, Nana;13601903;1987-01-01;;2008; Georgia;F;title application
Dzhakaev, Dzhakay;4136209;1980-04-05;;2006; Russia;M;
Dzhumaev, Marat;14200236;1976-01-12;;2001; Uzbekistan;M;
Dzindzichashvili, Roman;2000113;1944-05-05;;1977; United States;M;
Dziuba, Marcin;1112953;1983-07-17;;2007; Poland;M;title application
Édouard, Romain;633429;1990-11-28;;2009; France;M;title application
Efimenko, Zahar;14107201;1985-07-03;;2002; Ukraine;M;
Efimov, Igor;806404;1960-09-16;;1992; Monaco;M;
Ehlvest, Jaan;4500016;1962-10-14;;1987; United States;M;
Eingorn, Vereslav;14100053;1956-11-23;;1986; Ukraine;M;
El Debs, Felipe de Cresce;2106981;1985-01-29;;2010; Brazil;M;title application
El Gindy, Essam;10600140;1966-07-14;;2008; Egypt;M;title application
Eliseev, Urii;24131920;1996-08-29;2016-11-26;2013; Russia;M;"Di Felice; title application[note 12]"
Eliskases, Erich;;1913-02-15;1997-02-02;1952; Austria;M;Di Felice
Eljanov, Pavel;14102951;1983-05-10;;2001; Ukraine;M;
Emms, John;400254;1967-03-14;;1995; England;M;
Enchev, Ivajlo;2907712;1989-09-05;;2018; Bulgaria;M;title application
Enders, Peter;4611314;1963-02-02;;1997; Germany;M;
Engel, Luis;12961523;2002-10-14;;2020; Germany;M;title application
Epishin, Vladimir;4162714;1965-07-11;;1990; Russia;M;
Erdoğdu, Mert;6301495;1979-03-30;;2017; Turkey;M;title application
Erdős, Viktor;719978;1987-09-02;;2007; Hungary;M;"Di Felice; title application"
Erenburg, Sergey;2805642;1983-01-27;;2003; United States;M;
Erigaisi Arjun;35009192;2003-09-03;;2018; India;M;title application
Ermenkov, Evgenij;2900106;1949-09-29;;1977; Bulgaria;M;
Ernst, Sipke;1004689;1979-01-08;;2007; Netherlands;M;title application
Ernst, Thomas;1700065;1960-08-17;;1990; Sweden;M;Di Felice
Eryomenko, Volodymyr;14109328;1987-05-05;;2009; Ukraine;M;title application
Escobar Forero, Alder;4400801;1977-03-11;;2014; Colombia;M;"Di Felice; title application[note 13]"
Esen, Barış;6302114;1986-11-03;;2010; Turkey;M;title application
Esipenko, Andrey;24175439;2002-03-22;;2018; Russia;M;title application
Espig, Lutz;4611276;1949-01-05;;1983; Germany;M;
Espinosa Veloz, Ermes;3507424;1987-07-30;;2017; Cuba;M;title application
Euwe, Max;;1901-05-20;1981-11-26;1950; Netherlands;M;Gaige
Evans, Larry;2000369;1932-03-22;2010-11-15;1957; United States;M;Di Felice
Evdokimov, Alexander;4139275;1985-10-28;;2005; Russia;M;title application
Fang Yuxiang;8605840;1996-02-29;;2017; China;M;title application
Faragó, Iván;700134;1946-04-01;;1976; Hungary;M;
Fargère, François;615935;1985-09-01;;2009; France;M;title application
Fawzy, Adham;10613129;2000-01-03;;2019; Egypt;M;title application
Fedorchuk, Sergey;14102536;1981-03-14;;2002; Ukraine;M;
Fedorov, Alexei;13500465;1972-09-27;;1995; Belarus;M;
Fedorowicz, John;2000083;1958-09-27;;1986; United States;M;
Fedoseev, Vladimir;24130737;1995-02-16;;2011; Russia;M;title application
Felgaer, Rubén;107069;1981-04-04;;2002; Argentina;M;
Feller, Sébastien;634654;1991-03-11;;2007; France;M;title application
Fercec, Nenad;14500299;1961-04-12;;2007; Croatia;M;"Di Felice; title application"
Fernandes, António;1900021;1962-10-18;;2003; Portugal;M;Di Felice
Fernández Garcia, José Luís;2200023;1954-05-03;;1986; Spain;M;
Fernandez Romero, Ernesto;2214679;1983-01-23;;2018; Spain;M;title application
Fernandez, Daniel;5801605;1995-03-05;;2017; England;M;title application
Ferreira, Jorge Viterbo;1910850;1994-06-24;;2018; Portugal;M;title application
Feygin, Michael;14103109;1975-01-02;;2013; Germany;M;title application
Fier, Alexandr;2107139;1988-03-11;;2007; Brazil;M;title application
Filip, Miroslav;300098;1928-10-27;2009-04-27;1955; Czech Republic;M;Di Felice
Filippov, Anton;14200988;1986-06-12;;2008; Uzbekistan;M;title application
Filippov, Valerij;4117654;1975-11-28;;1996; Russia;M;
Fine, Reuben;;1914-10-11;1993-03-26;1950; United States;M;Di Felice
Finegold, Benjamin;2000261;1969-09-06;;2009; United States;M;title application
Finkel, Alexander;2801957;1975-01-01;;1995; Israel;M;
Firat, Burak;6305881;1993-01-01;;2017; Turkey;M;"Di Felice; title application"
Firman, Nazar;14104490;1983-03-22;;2011; Ukraine;M;title application
Firouzja, Alireza;12573981;2003-06-18;;2018;FIDE;M;"Di Felice; title application"
Fischer, Robert James (Bobby);2000016;1943-03-09;2008-01-17;1958; United States;M;Di Felice
Fish, Gennadij;14102803;1973-04-20;;2007; Germany;M;title application
Fishbein, Alexander;2000377;1968-05-08;;1992; United States;M;
Flear, Glenn;400165;1959-02-12;;1987; England;M;
Flesch, János;;1933-09-30;1983-12-09;1980; Hungary;M;Di Felice
Flohr, Salo;;1908-11-21;1983-07-18;1950; Soviet Union;M;Gaige
Flom, Gabriel;621650;1986-01-27;;2020; France;M;title application
Flores Ríos, Mauricio;3408027;1990-09-10;;2009; Chile;M;title application
Flores, Diego;108049;1982-12-18;;2008; Argentina;M;title application
Flumbort, Andras;717274;1984-08-17;;2010; Hungary;M;title application
Fodor Jr., Tamas;723762;1991-06-02;;2013; Hungary;M;title application
Fogarasi, Tibor;700363;1969-11-21;;2003; Hungary;M;
Fominyh, Alexander;4100590;1959-06-15;;1993; Russia;M;Di Felice
Fontaine, Robert;605590;1980-11-18;;2002;  Switzerland;M;
Forcen Esteban, Daniel;2288230;1994-06-12;;2016; Spain;M;title application
Forintos, Győző;700690;1935-07-30;2018-12-05;1974; Hungary;M;FIDE
Franco Ocampos, Zenón;2209381;1956-05-12;;1990; Paraguay;M;Di Felice
Fressinet, Laurent;608742;1981-11-30;;2000; France;M;
Fridman, Daniel;11600454;1976-02-15;;2001; Germany;M;
Friedel, Joshua;2017199;1986-12-03;;2008; United States;M;"Di Felice; title application"
Frolyanov, Dmitry;4151976;1986-05-20;;2007; Russia;M;title application
Ftáčnik, Ľubomír;14900017;1957-10-30;;1980; Slovakia;M;
Fuderer, Andrija;205591;1931-05-13;2011-10-02;1990; Belgium;M;"Di Felice; honorary"
Furman, Semyon;;1920-12-01;1978-03-17;1966; Soviet Union;M;Gaige
Gabriel, Christian;4600967;1975-03-03;;1996; Germany;M;
Gabrielian, Artur;4131002;1982-12-26;;2009; Russia;M;title application
Gabuzyan, Hovhannes;13303732;1995-05-19;;2012; Armenia;M;"Di Felice; title application"
Gagare, Shardul;5037883;1997-09-02;;2016; India;M;title application
Gagunashvili, Merab;13601652;1985-01-03;;2002; Georgia;M;
Gajewski, Grzegorz;1116207;1985-07-19;;2006; Poland;M;title application
Galdunts, Sergey;13300067;1965-01-17;;2003; Armenia;M;
Galego, Luís;1900072;1966-04-25;;2002; Portugal;M;
Gallego Alcaraz, Andres Felipe;4402669;1989-12-10;;2018; Colombia;M;title application
Galkin, Aleksandr;4120426;1979-02-01;;2000; Russia;M;
Gallagher, Joseph;1303422;1964-05-04;;1990;  Switzerland;M;Di Felice
Ganguly, Surya Shekhar;5002150;1983-02-24;;2003; India;M;title application
Gao Rui;8602387;1992-05-20;;2013; China;M;title application
Gaprindashvili, Nona;13600125;1941-05-03;;1978; Georgia;F;
Gaprindashvili, Valeriane;13601091;1982-01-16;;2001; Georgia;M;FIDE Golden Book
García, Gildardo;4400020;1954-03-09;;1992; Colombia;M;
García González, Guillermo;;1953-12-09;1990-10-26;1976; Cuba;M;Di Felice
García Ilundáin, David;2200538;1971-04-02;2002-06-19;1996; Spain;M;Di Felice
García Martínez, Silvino;3500179;1944-07-04;;1975; Cuba;M;
Garcia Palermo, Carlos;110124;1953-12-02;;1985; Italy;M;
Garcia Pantoja, Roberto;3509265;1992-10-31;;2019; Cuba;M;"title application; title application"
Gareyev, Timur;14200937;1988-03-03;;2004; United States;M;
Gasanov, Eldar;14104466;1982-09-26;;2007; Ukraine;M;title application
Gascon Del Nogal, Jose Rafael;3902463;1995-05-23;;2018; Venezuela;M;title application
Gashimov, Vugar;13400630;1986-07-24;2014-01-11;2002; Azerbaijan;M;Di Felice
Gausel, Einar;1500031;1963-11-30;;1995; Norway;M;
Gavrikov, Viktor;12801747;1957-07-29;2016-04-27;1984; Lithuania;M;Di Felice
Gavrilov, Alexei;4104358;1960-10-20;;2010; Russia;M;title application
Gazarian, Aram;4127854;1983-04-11;;2002; Russia;M;
Gdański, Jacek;1100106;1970-11-30;;1997; Poland;M;
Gelashvili, Tamaz;13600702;1978-04-08;;1999; Georgia;M;
Gelfand, Boris;2805677;1968-06-24;;1989; Israel;M;
Geller, Efim;4100581;1925-03-08;1998-11-17;1952; Russia;M;"Gaige; FIDE Golden Book[note 14]"
Geller, Jakov;4151984;1986-08-11;;2011; Russia;M;title application
Genov, Petar;2900211;1970-04-05;;2002; Bulgaria;M;
Georgescu, Tiberiu-Marian;1213300;1991-02-08;;2015; Romania;M;title application
Georgiadis, Nico;1300113;1996-01-22;;2017;  Switzerland;M;title application
Georgiev, Kiril;2900017;1965-11-28;;1985; North Macedonia;M;
Georgiev, Krum;2900092;1958-05-24;;1988; Bulgaria;M;
Georgiev, Vladimir;2903024;1975-08-27;;2000; North Macedonia;M;
Gershon, Alik;2802430;1980-06-03;;2000; Israel;M;
Ghaem Maghami, Ehsan;12500739;1982-08-11;;2001; Iran;M;
Ghane, Shojaat;12500313;1975-03-30;;2007; Iran;M;title application
Gharamian, Tigran;13301527;1984-07-24;;2009; France;M;title application
Gheorghiu, Florin;1200011;1944-04-06;;1965; Romania;M;Gaige
Ghițescu, Theodor;1200119;1934-01-24;2008-11-22;1986; Romania;M;
Gholami, Aryan;12513342;2001-07-26;;2020; Iran;M;title application
Ghosh, Diptayan;5045207;1998-08-10;;2016; India;M;title application
Giaccio, Alfredo;101613;1970-07-15;;2013; Argentina;M;title application
Ginsburg, Gennadij;4630629;1971-08-11;;2006; Germany;M;title application
Giorgadze, Giorgi;13600044;1964-10-10;;1993; Georgia;M;
Giorgadze, Tamaz;13600028;1947-11-09;;1977; Georgia;M;
Gipslis, Aivars;11600080;1937-02-08;2000-04-13;1967; Latvia;M;Di Felice
Giri, Anish;24116068;1994-06-28;;2009; Netherlands;M;title application
Girish, A. Koushik;5038448;1997-08-31;;2019; India;M;title application
Gledura, Benjamin;712779;1999-07-04;;2016; Hungary;M;title application
Gleizerov, Evgeny;4101332;1963-03-20;;1993; Russia;M;
Glek, Igor;4100484;1961-11-07;;1990; Russia;M;
Gligorić, Svetozar;900400;1923-02-02;2012-08-14;1951; Serbia;M;"Gaige; Di Felice"
Glud, Jakob Vang;1407767;1988-04-06;;2014; Denmark;M;"Di Felice; title application"
Godena, Michele;800090;1967-06-30;;1996; Italy;M;
Gofshtein, Leonid;2801574;1953-04-21;2015-12-25;1993; Israel;M;"Di Felice; later Zvulon Gofshtein"
Goganov, Aleksey;24109959;1991-07-26;;2013; Russia;M;title application
Goh, Wei Ming Kevin;5800706;1983-07-07;;2020; Singapore;M;title application
Goldin, Alexander;2019540;1964-02-27;;1989; United States;M;Di Felice
Golizadeh, Asghar;12505269;1990-07-29;;2011; Iran;M;title application
Golod, Vitali;2804140;1971-06-23;;1996; Israel;M;
Golombek, Harry;;1911-03-01;1995-01-07;1985; England;M;"Di Felice; honorary"
Goloshchapov, Alexander;14103222;1978-01-25;;1999; Ukraine;M;Di Felice
Golubev, Mikhail;14100983;1970-05-30;;1996; Ukraine;M;
Golubka, Petro;14114224;1989;;2020; Ukraine;M;title application
Gomez Esteban, Juan Mario;2200163;1958-02-15;;2004; Spain;M;"Di Felice[note 15]; title application"
Gomez Garrido, Camilo Ernesto;3507904;1987-10-23;;2016; Cuba;M;"Di Felice; title application"
Gomez, John Paul;5201381;1986-05-23;;2009; Philippines;M;title application
Gonda, Laszlo;720852;1988-04-24;;2010; Hungary;M;title application
Gonzales, Jayson;5201080;1969-02-05;;2008; Philippines;M;
Gonzalez Acosta, Bernal;6500170;1973-06-10;;2015; Costa Rica;M;title application
Gonzalez Garcia, Jose;5101174;1973-08-12;;2006; Spain;M;title application
González Vidal, Yuri;3503321;1981-01-12;;2009; Cuba;M;"FIDE Golden Book[note 16]; title application"
Gonzalez Zamora, Juan Carlos;3507548;1968-06-24;;2004; Mexico;M;
Gonzalez, Renier;3501841;1972-11-21;;2008; United States;M;title application
González Pérez, Arian;3507777;1988-08-17;;2018;FIDE;M;title application
Gopal, Geetha Narayanan;5015693;1989-03-29;;2007; India;M;title application
Gordievsky, Dmitry;24112798;1996-04-24;;2017; Russia;M;title application[note 17]
Gordon, Stephen J.;411477;1986-09-04;;2009; England;M;title application
Gormally, Daniel;406465;1976-05-04;;2005; England;M;title application
Gorovets, Andrey;13504037;1987-09-14;;2017; Belarus;M;title application
Gorovykh, Eduard;4176847;1990-02-07;;2012; Russia;M;title application
Goryachkina, Aleksandra;4147103;1998-09-28;;2018; Russia;F;title application
Gozzoli, Yannick;616915;1983-06-02;;2012; France;M;title application
Grabarczyk, Mirosław;1101684;1971-01-03;;2002; Poland;M;
Grachev, Boris;4129199;1986-03-27;;2007; Russia;M;title application
Graf, Alexander;4680804;1962-08-25;;1992; Germany;M;
Granda Zúñiga, Julio E;3800024;1967-02-25;;1986; Peru;M;
Grandelius, Nils;1710400;1993-06-03;;2010; Sweden;M;title application
Grechikhin, Valery;4121015;1937-09-06;2008-05-13;1998; Russia;M;Di Felice
Greenfeld, Alon;2800039;1964-04-17;;1989; Israel;M;
Grétarsson, Helgi;2300699;1977-02-18;;1994; Iceland;M;Di Felice
Grétarsson, Hjörvar Steinn;2302241;1993-05-29;;2013; Iceland;M;title application
Grigore, George-Gabriel;1200186;1970-11-13;;2002; Romania;M;
Grigoriants, Sergey;4130804;1983-11-02;;2003; Russia;M;
Grigorov, Grigor;2907313;1987-05-26;;2011; Bulgaria;M;title application
Grigoryan, Avetik;13302191;1989-01-27;;2008; Armenia;M;"Di Felice; IM title application; title application"
Grigoryan, Karen H.;13301004;1995-02-25;;2013; Armenia;M;"Di Felice; title application"
Grischuk, Alexander;4126025;1983-10-31;;1999; Russia;M;
Gritsak, Orest;14102188;1973-02-24;;2001; Ukraine;M;
Grivas, Efstratios;4200039;1966-03-30;;1993; Greece;M;
Groszpeter, Attila;700053;1960-06-09;;1986; Hungary;M;
Grover, Sahaj;5021103;1995-09-07;;2012; India;M;"Di Felice; title application"
Gruenfeld, Yehuda;2800020;1956-02-28;;1980; Israel;M;
Grünfeld, Ernst;;1893-11-21;1962-04-03;1950; Austria;M;Gaige
Guerra Mendez, Jose Angel;3508129;1988-01-20;;2017; Spain;M;title application
Gufeld, Eduard;2015307;1936-03-19;2002-09-23;1967; Ukraine;M;Di Felice
Guidarelli, Laurent;611123;1981-06-18;;2014; France;M;"Di Felice; title application"
Guimard, Carlos;100650;1913-04-06;1998-09-11;1960; Argentina;M;Di Felice
Gujrathi, Vidit Santosh;5029465;1994-10-24;;2013; India;M;title application
Gukesh D;46616543;2006-05-29;;2019; India;M;title application
Guliev, Sarhan;13400231;1968-04-01;;1995; Azerbaijan;M;
Guliyev, Namig;13400363;1974-02-13;;2005; Azerbaijan;M;title application
Gulko, Boris;2000040;1947-02-09;;1976; United States;M;
Gunawan, Ruben;7100248;1968-04-17;2005-08-28;1999; Indonesia;M;Di Felice
Gundavaa, Bayarsaikhan;4901045;1989-05-29;;2013; Mongolia;M;title application
Gunina, Valentina;4167570;1989-02-04;;2013; Russia;F;title application
Gupta, Abhijeet;5010608;1989-10-16;;2008; India;M;"Di Felice; title application"
Gurevich, Dmitry;2000407;1956-09-11;;1983; United States;M;
Gurevich, Ilya;2000628;1972-02-08;;1993; United States;M;
Gurevich, Mikhail;200930;1959-02-22;;1986; Belgium;M;
Gurevich, Vladimir;14100207;1959-08-04;;1998; Ukraine;M;
Gurgenidze, Bukhuti;13600184;1933-11-13;2008-05-24;1970; Georgia;M;Di Felice
Guseinov, Aidyn;13400169;1955-11-30;2003-10-30;1998; Azerbaijan;M;Di Felice
Guseinov, Gadir;13401378;1986-05-21;;2002; Azerbaijan;M;
Gustafsson, Jan;4625498;1979-06-25;;2003; Germany;M;
Gutman, Gennadi;14102277;1973-11-01;;2001; Ukraine;M;
Gutman, Lev;4600177;1945-09-26;;1986; Germany;M;
Gutov, Andrey;4130480;1978-12-08;;2006; Russia;M;
Gyimesi, Zoltán;702218;1977-03-31;;1996; Hungary;M;
Haba, Petr;300160;1965-01-06;;1997; Czech Republic;M;
Haddouche, Mohamed;7900660;1984-08-19;;2014; Algeria;M;"Di Felice; title application"
Hakobyan, Aram;13306677;2001-04-01;;2018; Armenia;M;title application
Halkias, Stelios;4201809;1980-04-11;;2002; Greece;M;
Hambleton, Aman;2606577;1992-12-30;;2018; Canada;M;title application[note 18]
Hamdouchi, Hichem;9000011;1972-10-08;;1994; France;M;
Hamitevici, Vladimir;13902393;1991-02-19;;2017; Moldova;M;";title application"
Hammer, Jon Ludvig;1503707;1990-06-02;;2009; Norway;M;title application
Handke, Florian;4634527;1982-03-22;;2003; Germany;M;title application
Handoko, Edhi;7100043;1960-08-28;2009-02-17;1994; Indonesia;M;Di Felice
Hansen, Curt;1400010;1964-09-18;;1985; Denmark;M;
Hansen, Eric;2606771;1992-05-24;;2013; Canada;M;"Di Felice; title application"
Hansen, Lars Bo;1400037;1968-09-24;;1990; Denmark;M;
Hansen, Sune Berg;1400266;1971-04-21;;1998; Denmark;M;
Hansen, Torbjorn Ringdal;1501720;1979-03-01;;2015; Norway;M;"Di Felice; title application"
Har-Zvi, Ronen;2801485;1976-10-13;;1995; Israel;M;
Harika, Dronavalli;5015197;1991-01-12;;2011; India;F;title application
Harikrishna, Pentala;5007003;1986-05-10;;2001; India;M;
Harsha Bharathakoti;5078776;2000-02-07;;2019; India;M;title application
Harutjunyan, Gevorg;13300873;1981-05-07;;2009; Armenia;M;"Di Felice; title application[note 19]"
Harutyunian, Tigran;13303635;1997-01-15;;2019; Armenia;M;title application
Hasangatin, Ramil;4122160;1972-07-01;;2003; Russia;M;title application
Haslinger, Stewart;405248;1981-11-25;;2007; England;M;"Di Felice; title application"
Haub, Thorsten Michael;4610776;1968-02-15;;2015; Germany;M;title application
Hauchard, Arnaud;600113;1971-11-15;;2000; France;M;
Hausrath, Daniel;4617495;1976-04-08;;2013; Germany;M;title application
Hawkins, Jonathan;412686;1983-05-01;;2014; England;M;title application
Hayrapetyan, Hovik;13302639;1990-02-15;;2013; Armenia;M;"Di Felice; title application"
Haznedaroğlu, Kıvanç;6300634;1981-01-01;;2009; Turkey;M;"Di Felice; title application"
Hebden, Mark;400084;1958-02-15;;1992; England;M;
Heberla, Bartłomiej;1115120;1985-06-19;;2006; Poland;M;title application
Hecht, Hans-Joachim;4600320;1939-01-29;;1973; Germany;M;
Hector, Jonny;1700090;1964-02-13;;1991; Sweden;M;
Heinemann, Thies;4601556;1971-03-07;;2018; Germany;M;title application
Heimann, Andreas;24624632;1992-01-10;;2016; Germany;M;title application
Hellers, Ferdinand;1700022;1969-01-28;;1989; Sweden;M;
Hellsten, Johan;1702092;1975-12-25;;2004; Sweden;M;title application
Henderson de La Fuente, Lance;32096585;2003-05-19;;2019; Spain;M;title application
Henley, Ron;2000318;1956-12-05;;1982; United States;M;
Henriquez Villagra, Cristobal;3409350;1996-08-07;;2017; Chile;M;title application
Hera Jr., Imre;716855;1986-09-03;;2007; Hungary;M;title application
Hernández Carmenates, Holden;3504387;1984-08-10;;2007; United States;M;"Di Felice; title application"
Hernandez, Guerrero Gilberto;5100011;1970-02-04;;1995; Mexico;M;
Hernandez, Onna Roman;3500063;1949-11-23;;1978; Cuba;M;
